VM Count: 100 arrivalLamda: 1.2 PM type: 3 cpuChangePeriod: 5
Repeat	vmNum	Name	energyConsume	executeCost	  usedPMNum	  SLA	  migrateVMCount	  scheduleTime
0	100.0	ecoCloud	9.54722	2.99394		36.00000	0.08333	1.00000	0.02000
0	100.0	KMIMPCU	8.40327	2.03212		23.00000	0.04348	45.00000	0.04000
0	100.0	AFEDEF	8.15267	1.12404		14.00000	0.07143	29.00000	0.02000
0	100.0	OSER	8.11065	1.29098		39.00000	0.00000	56.00000	3.92000
1	100.0	ecoCloud	10.32871	6.82332		45.00000	0.11111	0.00000	0.01000
1	100.0	KMIMPCU	7.44511	2.01306		8.00000	0.00000	65.00000	0.09000
1	100.0	AFEDEF	6.15699	2.54954		14.00000	0.00000	45.00000	0.05000
1	100.0	OSER	9.05229	1.54617		19.00000	0.00000	23.00000	0.61000
2	100.0	ecoCloud	11.79358	4.67198		41.00000	0.07317	0.00000	0.01000
2	100.0	KMIMPCU	8.66495	1.31264		12.00000	0.00000	99.00000	0.06000
2	100.0	AFEDEF	8.17683	1.62465		14.00000	0.00000	64.00000	0.05000
2	100.0	OSER	6.90454	1.13827		12.00000	0.00000	23.00000	0.68000
3	100.0	ecoCloud	10.87339	3.62263		27.00000	0.03704	1.00000	0.00000
3	100.0	KMIMPCU	6.56731	2.16747		10.00000	0.00000	125.00000	0.08000
3	100.0	AFEDEF	9.86176	1.65253		13.00000	0.00000	51.00000	0.08000
3	100.0	OSER	7.49748	1.30175		17.00000	0.00000	23.00000	0.67000
4	100.0	ecoCloud	10.16337	4.20721		45.00000	0.04444	0.00000	0.01000
4	100.0	KMIMPCU	8.95414	1.24845		13.00000	0.00000	58.00000	0.06000
4	100.0	AFEDEF	5.55256	0.71821		14.00000	0.00000	41.00000	0.02000
4	100.0	OSER	6.76987	1.02173		25.00000	0.00000	15.00000	0.68000
5	100.0	ecoCloud	13.21456	3.02669		36.00000	0.00000	0.00000	0.02000
5	100.0	KMIMPCU	8.53499	1.33598		12.00000	0.00000	29.00000	0.03000
5	100.0	AFEDEF	6.40504	1.61017		12.00000	0.08333	26.00000	0.03000
5	100.0	OSER	8.83517	1.39906		29.00000	0.03448	33.00000	0.84000
6	100.0	ecoCloud	8.78311	2.90906		28.00000	0.07143	1.00000	0.01000
6	100.0	KMIMPCU	7.90825	1.54642		19.00000	0.05263	121.00000	0.10000
6	100.0	AFEDEF	10.51968	1.76560		16.00000	0.00000	57.00000	0.06000
6	100.0	OSER	7.10187	1.07921		22.00000	0.00000	23.00000	0.83000
7	100.0	ecoCloud	11.07795	2.42411		32.00000	0.06250	0.00000	0.00000
7	100.0	KMIMPCU	7.80886	1.63918		15.00000	0.00000	99.00000	0.11000
7	100.0	AFEDEF	7.62011	1.08798		14.00000	0.00000	29.00000	0.03000
7	100.0	OSER	8.14890	1.05092		26.00000	0.00000	30.00000	0.73000
8	100.0	ecoCloud	11.03694	4.79914		51.00000	0.03922	0.00000	0.00000
8	100.0	KMIMPCU	8.74455	1.00628		13.00000	0.00000	45.00000	0.03000
8	100.0	AFEDEF	8.61104	0.92936		9.00000	0.00000	20.00000	0.03000
8	100.0	OSER	7.00611	1.14195		24.00000	0.04167	31.00000	0.91000
9	100.0	ecoCloud	9.89891	3.17267		29.00000	0.06897	0.00000	0.01000
9	100.0	KMIMPCU	8.08043	1.69089		17.00000	0.05882	74.00000	0.05000
9	100.0	AFEDEF	9.91611	1.31964		15.00000	0.00000	37.00000	0.01000
9	100.0	OSER	7.22966	0.91965		21.00000	0.00000	30.00000	0.81000
Average:	100.0	ecoCloud	10.67178	3.86507	37.00000	0.05912	0.30000	0.00900
Average:	100.0	KMIMPCU	8.11119	1.59925	14.20000	0.01549	76.00000	0.06500
Average:	100.0	AFEDEF	8.09728	1.43817	13.50000	0.01548	39.90000	0.03800
Average:	100.0	OSER	7.66566	1.18897	23.40000	0.00761	28.70000	1.06800
0	500.0	ecoCloud	586.24489	366.81149		111.00000	0.01802	1.00000	0.02600
0	500.0	KMIMPCU	340.46394	113.40091		34.00000	0.00000	232.00000	0.33600
0	500.0	AFEDEF	346.67415	121.67589		38.00000	0.02632	174.00000	0.58800
0	500.0	OSER	338.09643	121.33630		58.00000	0.00000	79.00000	1.10000
1	500.0	ecoCloud	565.62349	499.31401		97.00000	0.07216	2.00000	0.03200
1	500.0	KMIMPCU	392.56819	171.85334		41.00000	0.02439	399.00000	0.86600
1	500.0	AFEDEF	261.66234	141.96055		45.00000	0.00000	202.00000	0.23200
1	500.0	OSER	436.97821	178.01645		66.00000	0.00000	77.00000	1.23400
2	500.0	ecoCloud	177.56314	361.72793		105.00000	0.04762	0.00000	0.01000
2	500.0	KMIMPCU	90.88965	107.33088		34.00000	0.00000	1101.00000	0.47000
2	500.0	AFEDEF	108.58839	162.61699		55.00000	0.01818	268.00000	0.22600
2	500.0	OSER	124.96243	131.45272		83.00000	0.00000	116.00000	1.32200
3	500.0	ecoCloud	221.34160	324.83012		108.00000	0.05556	2.00000	0.01600
3	500.0	KMIMPCU	199.20105	106.62313		33.00000	0.09091	1366.00000	2.09200
3	500.0	AFEDEF	165.96570	130.59670		64.00000	0.00000	309.00000	0.51000
3	500.0	OSER	136.70678	84.95200		72.00000	0.00000	96.00000	0.95600
4	500.0	ecoCloud	549.65605	369.30979		95.00000	0.05263	1.00000	0.02400
4	500.0	KMIMPCU	327.94643	129.56516		40.00000	0.00000	317.00000	0.36600
4	500.0	AFEDEF	273.94448	128.70101		45.00000	0.00000	216.00000	23.01400
4	500.0	OSER	330.19767	165.62273		91.00000	0.00000	110.00000	1.37400
5	500.0	ecoCloud	150.55065	262.11064		109.00000	0.05505	0.00000	0.01000
5	500.0	KMIMPCU	110.90517	115.34839		43.00000	0.02326	361.00000	0.32800
5	500.0	AFEDEF	101.51672	91.20547		49.00000	0.06122	190.00000	0.43400
5	500.0	OSER	101.88901	118.40856		67.00000	0.00000	94.00000	1.32000
6	500.0	ecoCloud	161.79831	217.93440		89.00000	0.03371	1.00000	0.00800
6	500.0	KMIMPCU	128.56347	90.36094		37.00000	0.02703	339.00000	0.68400
6	500.0	AFEDEF	98.56836	71.49324		46.00000	0.00000	206.00000	0.23400
6	500.0	OSER	127.37994	60.41435		73.00000	0.00000	82.00000	1.14200
7	500.0	ecoCloud	178.78334	226.45092		88.00000	0.07955	3.00000	0.02000
7	500.0	KMIMPCU	89.16687	71.27538		28.00000	0.03571	572.00000	0.84600
7	500.0	AFEDEF	92.42923	126.62382		56.00000	0.00000	332.00000	1.35600
7	500.0	OSER	99.31500	86.33927		71.00000	0.00000	113.00000	1.48800
8	500.0	ecoCloud	202.26901	207.06437		93.00000	0.05376	0.00000	0.01800
8	500.0	KMIMPCU	140.10424	103.17898		40.00000	0.05000	338.00000	0.63600
8	500.0	AFEDEF	180.77273	132.68337		44.00000	0.02273	199.00000	0.30600
8	500.0	OSER	115.33654	122.12643		75.00000	0.01333	100.00000	2.17200
9	500.0	ecoCloud	146.71706	410.77799		131.00000	0.04580	1.00000	0.00600
9	500.0	KMIMPCU	101.96218	113.72152		49.00000	0.04082	412.00000	0.37600
9	500.0	AFEDEF	124.41396	121.68714		50.00000	0.02000	200.00000	0.35000
9	500.0	OSER	103.44205	165.99561		88.00000	0.00000	124.00000	1.18600
Average:	500.0	ecoCloud	294.05475	324.63317	102.60000	0.05139	1.10000	0.01700
Average:	500.0	KMIMPCU	192.17712	112.26586	37.90000	0.02921	543.70000	0.70000
Average:	500.0	AFEDEF	175.45361	122.92442	49.20000	0.01484	229.60000	2.72500
Average:	500.0	OSER	191.43041	123.46644	74.40000	0.00133	99.10000	1.32940
0	1000.0	ecoCloud	796.18063	2517.86127		154.00000	0.07143	4.00000	0.28500
0	1000.0	KMIMPCU	581.75303	1050.29415		84.00000	0.00000	565.00000	1.72800
0	1000.0	AFEDEF	627.06276	806.76308		82.00000	0.01220	493.00000	1.50500
0	1000.0	OSER	513.72927	976.54763		155.00000	0.00000	231.00000	2.69100
1	1000.0	ecoCloud	864.72563	2608.28508		139.00000	0.04317	10.00000	0.02700
1	1000.0	KMIMPCU	642.07305	838.98266		47.00000	0.02128	1713.00000	2.98100
1	1000.0	AFEDEF	599.32006	1208.04050		109.00000	0.00917	813.00000	2.60600
1	1000.0	OSER	507.26216	1174.01951		168.00000	0.00000	237.00000	2.14400
2	1000.0	ecoCloud	887.80521	2503.25542		132.00000	0.06061	5.00000	0.03200
2	1000.0	KMIMPCU	478.40288	990.86400		66.00000	0.07576	932.00000	1.73400
2	1000.0	AFEDEF	613.51105	1034.41494		78.00000	0.02564	566.00000	2.09600
2	1000.0	OSER	539.47831	1121.39260		137.00000	0.00000	194.00000	2.40600
3	1000.0	ecoCloud	948.36600	2497.94660		141.00000	0.02837	3.00000	0.02400
3	1000.0	KMIMPCU	738.77224	1054.19285		45.00000	0.04444	3022.00000	5.96100
3	1000.0	AFEDEF	575.33947	1326.96270		98.00000	0.05102	730.00000	2.11500
3	1000.0	OSER	518.01529	1125.86051		173.00000	0.00000	240.00000	1.60800
4	1000.0	ecoCloud	745.77572	2663.84859		164.00000	0.06707	6.00000	0.02100
4	1000.0	KMIMPCU	506.78085	961.79357		53.00000	0.05660	1554.00000	3.88900
4	1000.0	AFEDEF	439.03260	892.24486		90.00000	0.00000	590.00000	1.70100
4	1000.0	OSER	514.96205	1134.95078		183.00000	0.00000	264.00000	1.92500
5	1000.0	ecoCloud	755.65714	2475.07779		138.00000	0.07971	3.00000	0.02100
5	1000.0	KMIMPCU	605.22153	1386.34285		41.00000	0.00000	2294.00000	4.87500
5	1000.0	AFEDEF	524.02119	977.99447		92.00000	0.01087	619.00000	1.16000
5	1000.0	OSER	636.98930	1020.79037		132.00000	0.00000	216.00000	2.57500
6	1000.0	ecoCloud	862.58546	2219.55102		125.00000	0.05600	3.00000	0.02700
6	1000.0	KMIMPCU	638.49207	1135.93996		61.00000	0.01639	874.00000	1.55900
6	1000.0	AFEDEF	553.60758	836.38376		58.00000	0.00000	414.00000	2.17100
6	1000.0	OSER	488.53774	778.49061		118.00000	0.00000	169.00000	2.09600
7	1000.0	ecoCloud	991.27112	2655.60455		143.00000	0.05594	5.00000	0.02000
7	1000.0	KMIMPCU	662.30636	1612.28551		60.00000	0.03333	1516.00000	2.11300
7	1000.0	AFEDEF	529.63885	1727.76595		91.00000	0.00000	875.00000	13.64700
7	1000.0	OSER	523.83205	1176.62319		124.00000	0.00000	165.00000	2.02300
8	1000.0	ecoCloud	909.28309	2779.30515		164.00000	0.06707	8.00000	0.02200
8	1000.0	KMIMPCU	746.03350	1254.37148		59.00000	0.03390	1485.00000	1.98800
8	1000.0	AFEDEF	583.96997	988.74412		73.00000	0.01370	515.00000	2.50500
8	1000.0	OSER	603.68048	1085.04124		164.00000	0.00000	219.00000	2.54100
9	1000.0	ecoCloud	772.43276	2327.59054		148.00000	0.06757	7.00000	0.03500
9	1000.0	KMIMPCU	450.55996	868.20423		46.00000	0.08696	1262.00000	3.27900
9	1000.0	AFEDEF	571.08657	1073.04629		72.00000	0.04167	544.00000	1.36200
9	1000.0	OSER	500.83602	904.23054		130.00000	0.00769	197.00000	2.23300
Average:	1000.0	ecoCloud	853.40828	2524.83260	144.80000	0.05969	5.40000	0.05140
Average:	1000.0	KMIMPCU	605.03955	1115.32713	56.20000	0.03687	1521.70000	3.01070
Average:	1000.0	AFEDEF	561.65901	1087.23607	84.30000	0.01643	615.90000	3.08680
Average:	1000.0	OSER	534.73227	1049.79470	148.40000	0.00077	213.20000	2.22420
0	2000.0	ecoCloud	2871.49411	40744.04285		190.00000	0.07895	19.00000	0.04000
0	2000.0	KMIMPCU	2209.71721	15158.42231		89.00000	0.03371	1497.00000	5.37600
0	2000.0	AFEDEF	2595.80596	17057.23855		116.00000	0.06897	1588.00000	17.00950
0	2000.0	OSER	2255.29173	14424.05139		216.00000	0.00000	343.00000	2.27250
1	2000.0	ecoCloud	3968.18757	39912.06495		185.00000	0.05405	9.00000	0.03800
1	2000.0	KMIMPCU	2861.48801	17406.48985		71.00000	0.02817	3784.00000	8.80400
