VM Count: 1000 arrivalLamda: 0.4 PM type: 3 cpuChangePeriod: 5
Repeat	arrivalLamdaGroup	Name	energyConsume	executeCost	  usedPMNum	  SLA	  migrateVMCount	  scheduleTime
0	0.4	ecoCloud	823.50293	4380.37358		356.00000	0.06180	11.00000	0.09900
0	0.4	KMIMPCU	723.06428	902.74082		95.00000	0.02105	1177.00000	12.05200
0	0.4	AFEDEF	677.33877	1180.11435		84.00000	0.07143	501.00000	7.17600
0	0.4	OSER	664.92400	835.75182		66.00000	0.00000	50.00000	0.70800
1	0.4	ecoCloud	864.04625	4173.65596		371.00000	0.05660	6.00000	0.03100
1	0.4	KMIMPCU	440.39279	6868.53208		152.00000	0.01316	1059.00000	10.30100
1	0.4	AFEDEF	581.02684	4872.58038		127.00000	0.02362	859.00000	32.57800
1	0.4	OSER	645.78103	810.44972		68.00000	0.02941	64.00000	0.56300
2	0.4	ecoCloud	917.35782	5916.61872		354.00000	0.05367	19.00000	0.03000
2	0.4	KMIMPCU	440.12955	739.91017		82.00000	0.00000	1356.00000	9.97700
2	0.4	AFEDEF	558.30468	1555.00153		109.00000	0.00917	708.00000	4.47300
2	0.4	OSER	608.96236	1102.67996		113.00000	0.00885	106.00000	0.58700
3	0.4	ecoCloud	873.57809	6589.76568		398.00000	0.06030	14.00000	0.04000
3	0.4	KMIMPCU	657.27988	1600.61321		87.00000	0.01149	1204.00000	11.02900
3	0.4	AFEDEF	626.09701	1468.85677		81.00000	0.07407	426.00000	1.99900
3	0.4	OSER	658.51196	1241.92339		99.00000	0.02020	89.00000	0.57700
4	0.4	ecoCloud	852.93557	3503.50591		310.00000	0.04194	20.00000	0.01900
4	0.4	KMIMPCU	533.40160	755.56884		87.00000	0.02299	1548.00000	11.20900
4	0.4	AFEDEF	438.30877	955.02370		81.00000	0.07407	498.00000	4.94800
4	0.4	OSER	488.05653	904.12800		68.00000	0.04412	55.00000	0.51800
5	0.4	ecoCloud	755.40834	4900.21569		405.00000	0.04938	13.00000	0.02400
5	0.4	KMIMPCU	553.27669	1639.58155		110.00000	0.04545	1222.00000	12.86700
5	0.4	AFEDEF	624.19810	1189.92526		75.00000	0.05333	470.00000	3.60100
5	0.4	OSER	652.22682	1030.14795		90.00000	0.03333	74.00000	0.67000
