current time  ecoCloud---repeat 1-30 value
0:0,3,2,0,0,2,0,7,0,2,
1:1,0,1,0,0,3,3,1,0,5,
2:2,2,0,0,0,2,1,2,1,3,
3:2,1,1,0,0,2,7,0,0,0,
4:0,0,1,6,8,5,0,0,0,1,
5:4,8,0,0,0,0,0,0,5,0,
6:0,3,5,0,2,4,0,0,0,0,
7:2,1,5,0,0,0,0,0,0,0,
8:0,0,0,1,2,0,0,1,0,0,
9:0,0,1,5,0,9,0,0,2,0,
10:0,1,6,0,1,0,2,4,5,0,
11:0,0,1,3,0,0,3,3,5,2,
12:1,4,0,0,8,3,0,2,0,5,
13:3,2,0,0,1,4,4,2,4,0,
14:1,0,0,0,0,0,1,3,3,4,
15:6,3,2,1,0,4,5,1,5,1,
16:0,0,1,1,0,1,0,1,4,0,
17:4,3,1,1,0,4,0,3,0,10,
18:10,0,0,2,0,0,0,7,2,4,
19:1,1,0,4,1,0,0,0,0,0,
20:4,0,0,3,2,7,0,2,2,4,
21:0,0,1,7,0,0,6,0,0,0,
22:0,1,1,0,2,0,0,0,6,0,
23:1,0,2,3,0,0,1,2,1,1,
24:3,0,0,4,4,2,0,0,0,1,
25:2,5,1,0,0,0,0,7,5,2,
26:2,4,4,0,2,1,5,0,0,0,
27:2,1,2,9,1,0,7,0,2,1,
28:4,0,6,1,0,2,1,0,1,0,
29:1,1,0,0,0,3,3,3,0,0,
30:2,3,0,3,0,3,13,4,0,8,
31:0,0,16,2,0,0,6,0,0,2,
32:5,0,1,0,0,1,8,2,2,3,
33:2,0,4,0,0,1,0,0,1,2,
34:1,0,0,1,0,0,5,3,0,3,
35:0,7,0,0,0,0,2,1,0,1,
36:4,0,0,0,6,2,0,0,1,0,
37:1,0,1,0,2,2,0,0,0,0,
38:0,0,0,3,0,5,1,0,3,0,
39:0,1,6,0,0,2,6,0,2,0,
40:1,0,3,1,0,2,0,4,2,4,
41:2,3,6,1,0,0,0,1,9,1,
42:0,1,5,0,2,1,5,0,0,0,
43:2,0,1,6,1,8,2,2,5,3,
44:6,0,2,1,5,0,4,0,2,7,
45:0,0,3,7,4,4,3,0,0,1,
46:0,0,0,5,3,0,0,0,2,0,
47:0,3,0,0,5,11,2,5,1,9,
48:3,1,0,0,6,15,0,2,3,4,
49:1,0,2,9,0,0,0,2,0,9,
50:0,2,1,3,3,3,0,17,5,0,
51:0,1,2,0,0,0,1,0,0,0,
52:0,2,0,4,2,1,1,8,1,0,
53:0,1,3,6,3,0,0,3,0,0,
54:1,3,1,0,5,1,2,1,5,0,
55:4,0,1,3,3,0,4,2,0,0,
56:3,0,10,0,23,5,2,3,1,4,
57:0,0,0,1,0,6,0,5,0,0,
58:0,0,1,0,1,0,0,0,0,0,
59:7,0,3,0,0,1,4,0,3,5,
60:0,1,3,0,5,1,0,1,1,1,
61:1,0,0,0,7,0,3,0,0,0,
62:4,0,5,0,5,0,2,2,0,0,
63:5,4,0,0,1,2,9,2,0,0,
64:0,1,0,7,4,5,6,2,3,7,
65:0,1,0,0,0,2,0,3,2,0,
66:0,0,0,3,0,0,0,0,4,3,
67:0,0,0,3,0,0,0,0,0,0,
68:0,1,0,0,1,2,0,1,3,4,
69:0,1,0,1,1,0,0,0,0,4,
70:0,4,0,0,0,2,2,0,2,4,
71:8,1,0,0,0,1,5,0,0,2,
72:1,0,6,0,18,2,2,0,4,2,
73:0,1,0,5,0,0,4,2,0,0,
74:5,0,1,13,1,0,3,0,1,0,
75:5,0,0,0,3,1,0,5,2,7,
76:1,5,0,0,3,3,0,1,1,2,
77:0,2,0,3,1,0,6,1,0,1,
78:6,1,1,0,3,1,0,3,8,2,
79:4,0,9,1,1,1,0,0,2,0,
80:0,1,6,0,1,0,8,0,0,0,
81:2,0,0,1,0,0,0,6,1,0,
82:2,0,3,0,1,0,0,0,0,0,
83:8,0,4,0,0,6,0,0,0,3,
84:0,0,5,0,6,2,2,0,2,0,
85:0,0,7,0,3,0,0,4,0,11,
86:2,0,1,3,4,0,5,0,3,0,
87:1,0,0,6,0,0,0,1,6,1,
88:1,0,2,0,2,4,1,0,3,0,
89:0,0,1,1,5,5,0,1,14,2,
90:2,1,0,0,0,8,2,5,0,1,
91:2,0,0,0,0,0,0,1,0,2,
92:0,2,1,0,2,0,1,0,0,0,
93:5,2,0,5,1,0,1,0,0,3,
94:2,1,0,1,0,0,0,0,0,2,
95:0,2,6,3,0,0,1,8,2,1,
96:3,0,0,0,0,0,1,14,0,1,
97:1,1,2,0,11,0,3,1,0,0,
98:2,0,7,8,1,1,2,3,4,0,
99:0,0,0,0,0,0,3,5,4,6,
100:7,2,3,0,0,0,0,0,1,1,
101:1,0,0,4,1,1,1,2,0,8,
102:0,0,9,0,0,0,0,1,6,0,
103:7,2,0,0,1,0,0,3,7,0,
104:1,2,0,1,0,8,2,0,0,12,
105:3,2,0,3,1,1,1,0,0,3,
106:2,2,1,1,0,0,2,4,14,0,
107:0,1,0,1,6,9,0,0,11,0,
108:2,1,4,1,7,1,0,11,9,1,
109:6,0,2,0,1,0,4,0,0,1,
110:0,0,0,0,0,1,4,0,0,8,
111:8,1,0,0,3,0,0,0,0,0,
112:8,0,1,0,0,9,0,0,0,0,
113:2,0,0,0,2,0,7,0,3,1,
114:1,0,2,4,1,0,0,2,2,0,
115:1,1,0,1,2,3,5,0,3,0,
116:4,2,0,12,0,10,0,1,0,5,
117:2,2,6,0,4,13,1,0,3,3,
118:1,1,0,0,2,0,0,1,0,5,
119:2,1,6,1,0,0,3,3,0,2,
120:14,0,0,0,0,0,3,0,0,5,
121:2,0,0,2,1,0,0,0,0,3,
122:2,4,1,0,0,3,0,0,1,0,
123:2,2,0,0,1,3,3,1,1,8,
124:10,2,1,0,7,0,0,0,0,2,
125:0,0,0,0,3,4,2,2,1,0,
126:0,3,0,2,8,0,0,6,0,0,
127:3,5,0,0,5,0,0,0,0,1,
128:7,1,2,0,4,1,1,1,0,0,
129:7,0,0,0,1,2,0,5,0,0,
130:1,2,0,1,0,2,0,2,3,0,
131:4,2,17,0,8,1,1,2,0,0,
132:5,2,0,3,0,6,4,2,1,0,
