VM Count: 1000 arrivalLamda: 1.2 PM type: 3 cpuChangePeriod: 1
Repeat	cpuChangePeriod	Name	energyConsume	executeCost	  usedPMNum	  SLA	  migrateVMCount	  scheduleTime
0	1.0	ecoCloud	888.43512	2459.98972		145.00000	0.04138	12.00000	0.02600
0	1.0	KMIMPCU	781.77701	1610.16844		54.00000	0.03704	1270.00000	5.37200
0	1.0	AFEDEF	574.97102	1030.84021		74.00000	0.05405	808.00000	5.77100
0	1.0	OSER	625.71959	972.90315		147.00000	0.00000	251.00000	1.97900
1	1.0	ecoCloud	717.70996	3091.22426		195.00000	0.10256	13.00000	0.02600
1	1.0	KMIMPCU	595.88608	1144.63144		63.00000	0.06349	1028.00000	4.85700
1	1.0	AFEDEF	683.39443	1023.25200		68.00000	0.04412	754.00000	2.79400
1	1.0	OSER	517.62454	1085.17053		117.00000	0.00000	220.00000	2.27700
2	1.0	ecoCloud	1008.85675	2669.32611		146.00000	0.08219	8.00000	0.01800
2	1.0	KMIMPCU	578.95295	795.47529		38.00000	0.00000	1328.00000	3.74000
2	1.0	AFEDEF	645.15274	892.86834		82.00000	0.03659	918.00000	2.80900
2	1.0	OSER	589.02364	1058.04335		138.00000	0.00000	235.00000	2.26900
3	1.0	ecoCloud	798.90018	3380.75606		141.00000	0.05674	9.00000	0.03200
3	1.0	KMIMPCU	700.68488	1205.75316		60.00000	0.03333	1051.00000	3.09400
3	1.0	AFEDEF	648.75978	1943.17602		80.00000	0.01250	943.00000	13.53800
3	1.0	OSER	477.46706	1267.65072		140.00000	0.00000	253.00000	2.56800
4	1.0	ecoCloud	866.37705	2124.22430		162.00000	0.02469	9.00000	0.01900
4	1.0	KMIMPCU	726.13579	1216.00051		92.00000	0.02174	1566.00000	6.78400
4	1.0	AFEDEF	397.25351	863.72304		67.00000	0.02985	648.00000	4.43500
4	1.0	OSER	611.03998	928.85386		125.00000	0.00000	244.00000	2.28300
5	1.0	ecoCloud	788.98936	1957.67043		104.00000	0.07692	3.00000	0.02100
5	1.0	KMIMPCU	661.02200	705.40791		53.00000	0.01887	1032.00000	3.06900
5	1.0	AFEDEF	688.52388	858.87402		70.00000	0.01429	811.00000	6.17800
5	1.0	OSER	634.65379	789.71361		129.00000	0.00000	217.00000	2.51900
6	1.0	ecoCloud	818.06153	2771.83317		160.00000	0.05000	14.00000	0.02800
6	1.0	KMIMPCU	532.96471	921.03832		55.00000	0.01818	1236.00000	3.55300
6	1.0	AFEDEF	640.79009	935.18920		70.00000	0.01429	857.00000	3.35400
6	1.0	OSER	532.00254	1056.04393		142.00000	0.00000	213.00000	2.19000
7	1.0	ecoCloud	692.45405	2474.21766		151.00000	0.10596	9.00000	0.05900
7	1.0	KMIMPCU	796.63427	1541.79626		66.00000	0.00000	3406.00000	4.96200
7	1.0	AFEDEF	752.39603	1262.92425		84.00000	0.03571	926.00000	5.80600
7	1.0	OSER	530.03413	1028.07529		141.00000	0.00000	280.00000	2.39600
8	1.0	ecoCloud	797.49259	2332.35742		144.00000	0.06944	10.00000	0.01900
8	1.0	KMIMPCU	558.02401	2395.62421		56.00000	0.01786	1014.00000	7.23100
8	1.0	AFEDEF	428.54361	1114.59228		66.00000	0.00000	805.00000	4.31900
8	1.0	OSER	526.63566	1205.63116		135.00000	0.00000	244.00000	2.90200
9	1.0	ecoCloud	966.16043	2660.42784		115.00000	0.02609	5.00000	0.02800
9	1.0	KMIMPCU	738.55112	1414.00625		84.00000	0.01190	701.00000	2.02400
9	1.0	AFEDEF	586.85568	973.45342		87.00000	0.02299	932.00000	5.92800
9	1.0	OSER	485.14880	1131.79960		172.00000	0.00000	299.00000	2.22300
Average:	1.0	ecoCloud	834.34370	2592.20270	146.30000	0.06360	9.20000	0.02760
Average:	1.0	KMIMPCU	667.06328	1294.99018	62.10000	0.02224	1363.20000	4.46860
Average:	1.0	AFEDEF	604.66408	1089.88928	74.80000	0.02644	840.20000	5.49320
Average:	1.0	OSER	552.93497	1052.38852	138.60000	0.00000	245.60000	2.36060
0	2.0	ecoCloud	873.48664	2518.09398		125.00000	0.06400	9.00000	0.05500
0	2.0	KMIMPCU	582.46767	1156.30982		74.00000	0.02703	511.00000	2.07800
0	2.0	AFEDEF	450.82096	1125.84803		72.00000	0.02778	589.00000	8.00000
0	2.0	OSER	524.78244	965.28857		153.00000	0.00000	261.00000	2.36700
1	2.0	ecoCloud	788.71604	2396.67012		146.00000	0.08219	7.00000	0.02500
1	2.0	KMIMPCU	480.26183	1096.83377		66.00000	0.01515	1264.00000	2.84200
1	2.0	AFEDEF	575.46573	1137.17424		78.00000	0.03846	573.00000	3.25200
1	2.0	OSER	596.10326	1052.80949		151.00000	0.00000	271.00000	2.91000
2	2.0	ecoCloud	932.57131	2495.94955		169.00000	0.07101	13.00000	0.02800
2	2.0	KMIMPCU	578.39586	1127.36419		56.00000	0.01786	1464.00000	3.79200
2	2.0	AFEDEF	505.00192	1102.07669		77.00000	0.02597	656.00000	3.58900
2	2.0	OSER	512.09819	1072.98847		167.00000	0.00000	271.00000	2.13800
3	2.0	ecoCloud	742.44872	3007.60989		168.00000	0.05952	11.00000	0.02900
3	2.0	KMIMPCU	683.12414	1158.13174		54.00000	0.05556	1223.00000	3.80000
3	2.0	AFEDEF	753.37170	824.10124		83.00000	0.03614	838.00000	2.60500
3	2.0	OSER	496.17790	1057.14242		154.00000	0.00000	249.00000	2.17000
4	2.0	ecoCloud	920.74503	2562.87494		149.00000	0.08725	7.00000	0.02500
4	2.0	KMIMPCU	590.45215	1099.03450		48.00000	0.02083	3272.00000	7.15000
4	2.0	AFEDEF	614.58059	729.71170		78.00000	0.00000	671.00000	3.22800
4	2.0	OSER	522.71051	829.55087		118.00000	0.00000	169.00000	2.24700
5	2.0	ecoCloud	885.62099	2208.16235		108.00000	0.04630	2.00000	0.02000
5	2.0	KMIMPCU	542.77969	685.97357		55.00000	0.01818	1015.00000	4.44000
5	2.0	AFEDEF	410.22842	959.83075		74.00000	0.04054	785.00000	2.72000
5	2.0	OSER	493.40361	908.50804		132.00000	0.00000	211.00000	2.11200
6	2.0	ecoCloud	780.65135	2110.24242		129.00000	0.07752	13.00000	0.01800
6	2.0	KMIMPCU	555.56142	1165.28420		56.00000	0.01786	1105.00000	1.66200
6	2.0	AFEDEF	462.83848	749.86012		74.00000	0.05405	543.00000	1.92800
6	2.0	OSER	505.10924	1001.03430		117.00000	0.00000	199.00000	2.06000
7	2.0	ecoCloud	887.50226	2152.05361		123.00000	0.07317	1.00000	0.02000
7	2.0	KMIMPCU	665.09857	960.16027		58.00000	0.05172	1473.00000	2.48900
7	2.0	AFEDEF	459.53796	1032.86553		105.00000	0.01905	908.00000	2.36400
7	2.0	OSER	514.39397	979.35856		173.00000	0.00000	279.00000	2.95500
8	2.0	ecoCloud	783.73647	2360.76586		132.00000	0.06061	5.00000	0.01900
8	2.0	KMIMPCU	699.05420	1458.17958		55.00000	0.00000	1583.00000	4.17300
8	2.0	AFEDEF	744.14215	952.86094		92.00000	0.03261	813.00000	3.62200
8	2.0	OSER	462.32957	1077.65844		168.00000	0.00000	280.00000	2.65800
9	2.0	ecoCloud	895.61911	2358.27712		126.00000	0.07143	6.00000	0.02000
9	2.0	KMIMPCU	482.26317	1673.26936		60.00000	0.01667	1903.00000	3.58500
9	2.0	AFEDEF	511.25920	1372.86990		66.00000	0.04545	769.00000	2.58900
9	2.0	OSER	498.75185	1216.08122		135.00000	0.00000	248.00000	2.59800
Average:	2.0	ecoCloud	849.10979	2417.06998	137.50000	0.06930	7.40000	0.02590
Average:	2.0	KMIMPCU	585.94587	1158.05410	58.20000	0.02409	1481.30000	3.60110
Average:	2.0	AFEDEF	548.72471	998.71991	79.90000	0.03201	714.50000	3.38970
Average:	2.0	OSER	512.58605	1016.04204	146.80000	0.00000	243.80000	2.42150
0	5.0	ecoCloud	849.42805	2805.94475		148.00000	0.05405	4.00000	0.02100
0	5.0	KMIMPCU	518.98429	912.94130		41.00000	0.02439	1388.00000	3.09800
0	5.0	AFEDEF	707.72583	1018.10024		74.00000	0.02703	617.00000	2.60000
0	5.0	OSER	627.70119	1103.03792		123.00000	0.00000	182.00000	1.90400
1	5.0	ecoCloud	931.12898	2913.91210		168.00000	0.02976	1.00000	0.02900
1	5.0	KMIMPCU	572.55285	1381.66153		58.00000	0.03448	1239.00000	2.97600
1	5.0	AFEDEF	480.93306	1163.15794		86.00000	0.02326	543.00000	17.44700
1	5.0	OSER	514.78990	1059.34648		134.00000	0.00746	202.00000	1.80300
2	5.0	ecoCloud	1010.02551	2760.58999		154.00000	0.03896	9.00000	0.02400
2	5.0	KMIMPCU	801.03215	1530.12814		62.00000	0.04839	1594.00000	3.17200
2	5.0	AFEDEF	698.96291	1119.84816		108.00000	0.02778	1175.00000	2.00900
2	5.0	OSER	502.63961	918.05903		140.00000	0.00000	212.00000	2.09000
3	5.0	ecoCloud	762.30543	2127.69165		182.00000	0.06593	8.00000	0.02300
3	5.0	KMIMPCU	512.18529	1164.88513		43.00000	0.02326	1286.00000	3.85600
3	5.0	AFEDEF	515.94501	806.66769		72.00000	0.01389	525.00000	1.30000
3	5.0	OSER	504.75858	841.98368		135.00000	0.00000	189.00000	2.17500
4	5.0	ecoCloud	682.58022	2061.29179		157.00000	0.05732	8.00000	0.01800
4	5.0	KMIMPCU	531.46516	1253.55314		58.00000	0.03448	1374.00000	3.63500
4	5.0	AFEDEF	792.70033	1121.84842		87.00000	0.03448	603.00000	1.71500
4	5.0	OSER	624.87379	1098.83903		130.00000	0.00000	172.00000	2.48400
5	5.0	ecoCloud	958.92473	2741.18026		129.00000	0.06202	2.00000	0.02500
5	5.0	KMIMPCU	548.28454	1083.67622		65.00000	0.06154	2478.00000	4.23500
5	5.0	AFEDEF	522.12721	1066.43098		79.00000	0.02532	485.00000	1.18200
5	5.0	OSER	605.63024	985.56821		144.00000	0.00000	231.00000	2.73800
6	5.0	ecoCloud	826.90147	2977.53542		141.00000	0.04965	6.00000	0.02700
6	5.0	KMIMPCU	578.63965	1065.62518		54.00000	0.00000	2445.00000	10.39600
6	5.0	AFEDEF	723.38996	1319.96301		69.00000	0.01449	550.00000	1.70700
6	5.0	OSER	611.80299	1158.13312		145.00000	0.00000	192.00000	2.55200
7	5.0	ecoCloud	795.87923	2142.59629		124.00000	0.02419	6.00000	0.02700
7	5.0	KMIMPCU	459.89399	1635.66545		56.00000	0.03571	987.00000	3.61000
7	5.0	AFEDEF	714.48806	1202.97763		82.00000	0.02439	554.00000	3.26300
7	5.0	OSER	520.13028	1165.22700		148.00000	0.00000	225.00000	1.93300
8	5.0	ecoCloud	942.77178	2616.12508		164.00000	0.07927	5.00000	0.02100
8	5.0	KMIMPCU	490.66092	717.87474		55.00000	0.03636	743.00000	2.07500
8	5.0	AFEDEF	502.68755	1032.18081		96.00000	0.01042	643.00000	1.42900
8	5.0	OSER	511.03845	1185.06151		131.00000	0.00000	183.00000	2.12700
9	5.0	ecoCloud	875.94158	2644.30477		158.00000	0.04430	8.00000	0.02000
